model,gpu,framework,precision,gpu_count,isl,osl,concurrency,rows,output_p50_tok_s_mw,output_p10_tok_s_mw,output_p90_tok_s_mw,input_p50_tok_s_mw,total_p50_tok_s_mw,median_tpot_ms,median_ttft_ms,power_w_p50,kv_pressure_proxy_isl_x_concurrency,decode_work_proxy_osl_x_concurrency,baseline_1024_1024_output_p50_tok_s_mw,realization_vs_same_config_1024_1024
dsr1,b200,sglang,fp4,64,1024,8192,128,35,301826.828376,298165.639761,302763.618383,37777.59873,339604.427106,0.023153,0.496429,2170.0,131072.0,1048576.0,242588.80432,1.244191
dsr1,b200,sglang,fp4,64,1024,1024,16,33,79137.478,76501.068099,79244.964471,79979.923328,159117.401328,0.010955,0.286894,2170.0,16384.0,16384.0,79137.478,1.0
dsr1,b200,sglang,fp4,64,1024,8192,16,34,84553.187362,84428.458458,84802.469692,10608.077342,95161.264704,0.010606,0.299576,2170.0,16384.0,131072.0,79137.478,1.068434
dsr1,b200,sglang,fp4,64,8192,1024,16,33,43186.778609,40370.093228,43827.742171,346563.08881,389749.867419,0.012674,0.44565,2170.0,131072.0,16384.0,79137.478,0.545718
dsr1,b200,sglang,fp4,64,1024,1024,32,34,86104.169802,80593.088964,87126.542642,85831.799796,171935.969598,0.013155,0.331653,2170.0,32768.0,32768.0,86104.169802,1.0
dsr1,b200,sglang,fp4,64,1024,8192,32,34,127811.139665,126711.28538,128387.069123,15871.591557,143682.731222,0.013181,0.329802,2170.0,32768.0,262144.0,86104.169802,1.484378
dsr1,b200,sglang,fp4,64,1024,1024,4,33,27577.506041,26777.140212,27619.322987,27847.203518,55424.70956,0.007882,0.151549,2170.0,4096.0,4096.0,27577.506041,1.0
dsr1,b200,sglang,fp4,64,1024,8192,4,32,29286.493285,29208.562419,29346.083563,3737.208271,33023.701556,0.007752,0.150596,2170.0,4096.0,32768.0,27577.506041,1.06197
dsr1,b200,sglang,fp4,64,8192,1024,4,34,13997.491626,12467.86177,14269.410906,111831.610182,125829.101809,0.008309,0.224184,2170.0,32768.0,4096.0,27577.506041,0.507569
dsr1,b200,sglang,fp4,64,1024,1024,64,34,145468.871135,141730.652892,146493.474683,145534.459742,291003.330877,0.016872,0.382728,2170.0,65536.0,65536.0,145468.871135,1.0
dsr1,b200,sglang,fp4,64,1024,8192,64,34,197132.912499,194265.605992,197657.769698,24613.829898,221746.742397,0.017375,0.405968,2170.0,65536.0,524288.0,145468.871135,1.355155
dsr1,b200,sglang,fp4,64,1024,1024,8,35,47640.267522,46605.971608,47860.68123,47288.378454,94928.645976,0.009168,0.155673,2170.0,8192.0,8192.0,47640.267522,1.0
dsr1,b200,sglang,fp4,64,1024,8192,8,34,50834.158676,50486.391168,51149.527921,6371.28249,57205.441166,0.008808,0.154291,2170.0,8192.0,65536.0,47640.267522,1.067042
dsr1,b200,sglang,fp4,64,8192,1024,8,33,25550.308876,22230.589525,25990.5114,201731.501488,227281.810365,0.009826,0.250677,2170.0,65536.0,8192.0,47640.267522,0.536317
dsr1,b200,sglang,fp4,8,1024,1024,128,22,267609.271883,213752.274629,268229.985096,267636.812215,535246.084098,0.025413,0.548243,2170.0,131072.0,131072.0,267609.271883,1.0
dsr1,b200,sglang,fp4,8,1024,8192,128,19,286936.60751,277452.226313,296455.291493,35880.067397,322850.499187,0.024407,0.624204,2170.0,131072.0,1048576.0,267609.271883,1.072222
dsr1,b200,sglang,fp4,8,8192,1024,128,14,138094.751981,131345.597946,143576.622583,1105725.274863,1243820.026843,0.050426,1.217782,2170.0,1048576.0,131072.0,267609.271883,0.516031
