supplier,year,supplier_scope,csp_total_power_mw,ai_contract_power_mw,contract_power_utilization,contract_inference_weight_mw,normalized_supplier_inference_mw,accelerator_power_mw,accelerator_units_estimated,hbm_pb,hbm_24gb_stack_equiv_m,h200_share,b200_share,gb200_share,purpose_built_share
Nscale,2027,epoch_supplier,233.0,233.0,1.0,139.8,192.609,192.609,88759.90783410138,15.97678341013825,0.6656993087557604,0.0,1.0,0.0,0.0
Nscale,2028,epoch_supplier,233.0,233.0,1.0,151.45,176.778,176.778,81464.51612903226,14.663612903225806,0.610983870967742,0.0,1.0,0.0,0.0
Nscale,2029,epoch_supplier,233.0,233.0,1.0,163.1,242.821,242.821,111899.07834101382,20.14183410138249,0.8392430875576037,0.0,1.0,0.0,0.0
Nscale,2030,epoch_supplier,233.0,233.0,1.0,174.75,316.265,316.265,145744.23963133642,26.233963133640554,1.093081797235023,0.0,1.0,0.0,0.0
Oracle,2026,epoch_supplier,915.0,843.0,0.921311475409836,488.94,220.622,220.622,102666.89219786368,18.28812903492182,0.7620053764550758,0.03858636038110433,0.9614136396188957,0.0,0.0
Oracle,2027,epoch_supplier,915.0,843.0,0.921311475409836,531.09,443.334,443.334,206160.96001704806,38.35263637622866,1.5980265156761941,0.03578791610839683,0.8916370050571353,0.0,0.07257507883446791
Oracle,2028,epoch_supplier,5783.0,5711.0,0.9875497146809614,3883.48,1347.297,1347.297,625453.634692736,128.36195557923338,5.348414815801391,0.02900028724178856,0.7225281433863506,0.0,0.24847156937186082
Oracle,2029,epoch_supplier,5783.0,5711.0,0.9875497146809614,4169.03,1893.585,1893.585,879056.0214165846,180.408827591167,7.5170344829652915,0.029000018483458626,0.722528431520106,0.0,0.24847154999643534
Oracle,2030,epoch_supplier,5783.0,5711.0,0.9875497146809614,4454.58,2557.392,2557.392,1187214.1818278683,243.65216046722253,10.152173352800938,0.02900024712676039,0.7225282631681026,0.0,0.2484714897051371
Softbank,2028,epoch_supplier,857.0,857.0,1.0,582.76,202.177,202.177,101802.13269048062,17.016399557284036,0.7090166482201681,0.32500234942649264,0.3749981451896111,0.2999995053838963,0.0
Softbank,2029,epoch_supplier,857.0,857.0,1.0,625.61,284.154,284.154,139895.45696704937,24.16178869502677,1.0067411956261154,0.2130006968052535,0.36200088684304993,0.4249984163516966,0.0
Softbank,2030,epoch_supplier,857.0,857.0,1.0,668.46,383.766,383.766,184590.9328467542,32.96428166964119,1.3735117362350497,0.10000104230181935,0.34999973942454515,0.5499992182736355,0.0
SpaceXAI,2026,epoch_supplier,1286.0,970.6659999999999,0.7547947122861586,482.673,226.752,226.752,112310.65768093552,18.712457110892096,0.7796857129538372,0.29411868473045444,0.7058813152695456,0.0,0.0
SpaceXAI,2027,epoch_supplier,1286.0,970.6659999999999,0.7547947122861586,538.266,571.386,571.386,283008.3215684185,47.15299730428065,1.9647082210116937,0.2941164116726696,0.7058835883273304,0.0,0.0
SpaceXAI,2028,epoch_supplier,1286.0,970.6659999999999,0.7547947122861586,594.176,797.263,797.263,394885.6317093312,65.79324549958712,2.741385229149463,0.29411749949514776,0.7058825005048522,0.0,0.0
SpaceXAI,2029,epoch_supplier,1286.0,970.6659999999999,0.7547947122861586,649.77,1203.205,1203.205,595949.3913321435,99.29315864787831,4.137214943661596,0.2941177937259237,0.7058822062740764,0.0,0.0
SpaceXAI,2030,epoch_supplier,1286.0,970.6659999999999,0.7547947122861586,705.6790000000001,1668.796,1668.796,826557.3000186463,137.7155405929517,5.738147524706321,0.294117435564323,0.7058825644356769,0.0,0.0
