group,year,n_assets,observations,avg_pair_corr,median_pair_corr,max_pair_corr,min_pair_corr,pc1_share,strong_pair_share,avg_pair_corr_yoy_change,pc1_share_yoy_change
AI Software,2022,2,12,0.6875711898160608,0.6875711898160608,0.6875711898160608,0.6875711898160608,0.8437855949080304,1.0,1.1735560769663413,0.10079315133289013
Cooling,2022,4,12,0.6834095588237495,0.7299660537228405,0.8891786755321542,0.3501517673113958,0.7693539782297617,0.6666666666666666,0.226155878080032,0.16114051314605427
AI Chip,2022,5,12,0.6800104658029195,0.7339629172454858,0.8595556867685341,0.30841474996311324,0.7542584439389091,0.6,0.4626117987273806,0.24241494508796801
NAND,2022,2,12,0.6615191869435196,0.6615191869435196,0.6615191869435196,0.6615191869435196,0.8307595934717599,1.0,-0.01291398178076053,-0.006456990890380321
components,2022,14,12,0.5954095103396174,0.6324510990785372,0.927160472044338,-0.1872007067730153,0.6422384500277502,0.45054945054945056,0.47820107802971473,0.3796379251914211
meterier,2022,8,12,0.5606011417408012,0.5929802953366997,0.9134909052508314,0.15091840987792887,0.6262893837600333,0.32142857142857145,0.35518547495231734,0.2529533008099278
OSAT / packiging,2022,6,12,0.5468306565796456,0.4900103274507617,0.9184516576865265,0.17053824534937537,0.6413130792418091,0.4666666666666667,0.3746809969111051,0.2597964133428739
Energy,2022,17,12,0.4520985111261311,0.453289236901866,0.9511006085168877,-0.07567723312677908,0.5016080695331525,0.21323529411764705,0.1697261418097718,0.024100666070837606
Server Networking,2022,13,12,0.40425046226124817,0.3862817142785153,0.8733480714912619,-0.3831924556610903,0.5131934544939306,0.28205128205128205,0.30576194599428175,0.2388137435275059
AI Platforms,2022,9,12,0.3228457408187262,0.3044539020833207,0.8307995174309604,-0.35578907655055597,0.4288928226141787,0.1388888888888889,0.04444132118700317,-0.12053422551314974
Hyperscalers,2022,6,12,0.3152104542654527,0.18172492750508318,0.8922495241020949,-0.31198729444636114,0.5225506004300237,0.3333333333333333,0.023437159035277932,0.05684088409380761
Server OEM/EMS/ODM,2022,21,12,0.28965718415941166,0.3008754611658263,0.8627238482751305,-0.5577349852883625,0.3760522922476892,0.10476190476190476,0.1707347555508739,0.06577066425871342
foundry,2022,2,12,-0.1190105304208095,-0.1190105304208095,-0.1190105304208095,-0.1190105304208095,0.5595052652104048,0.0,-0.361134717111947,-0.061556828135163943
NAND,2023,2,12,0.800459269552306,0.800459269552306,0.800459269552306,0.800459269552306,0.900229634776153,1.0,0.13894008260878632,0.06947004130439316
HW equipment,2023,14,12,0.7203646047575917,0.7307346824318776,0.9350544214700204,0.3800271558476918,0.7450236875339068,0.7142857142857143,-0.018366465083640038,-0.028272313163818286
DRAM,2023,3,12,0.6131461559646457,0.6181816304389351,0.6307739251761716,0.5904829122788304,0.7421483723397774,0.0,-0.25750483000406277,-0.17164152245328224
AI Platforms,2023,9,12,0.5746196139440038,0.5911467619204054,0.864116911356743,0.25591974670459244,0.6303693519408602,0.3888888888888889,0.25177387312527766,0.20147652932668147
AI Chip,2023,5,12,0.5265548230436925,0.5661579257597575,0.7786621039423205,-0.04527845439426061,0.6398598303918017,0.3,-0.15345564275922696,-0.11439861354710734
AI Software,2023,2,12,0.5248724438511871,0.5248724438511871,0.5248724438511871,0.5248724438511871,0.7624362219255936,0.0,-0.16269874596487366,-0.08134937298243683
Hyperscalers,2023,6,12,0.4941369385131986,0.5006846289006974,0.7248843249792343,0.04380495152317858,0.5859903216014218,0.2,0.17892648424774593,0.06343972117139818
components,2023,14,12,0.46931260923549806,0.49129981697202824,0.9396667627366929,-0.2054472330901341,0.532573195462041,0.23076923076923078,-0.12609690110411936,-0.10966525456570919
OSAT / packiging,2023,6,12,0.4455094197325354,0.4563335335420533,0.8807729767686523,0.10383016045715068,0.5555166826135465,0.2,-0.1013212368471102,-0.08579639662826266
Cooling,2023,4,12,0.43036604635576864,0.3445875553722969,0.688155529952319,0.2736566951785486,0.5827557482608986,0.16666666666666666,-0.2530435124679809,-0.1865982299688631
Server Networking,2023,13,12,0.36124159833835184,0.4395840891262499,0.8299786904455251,-0.363006139794215,0.45425607047399286,0.1282051282051282,-0.04300886392289632,-0.058937384019937755
Server OEM/EMS/ODM,2023,21,12,0.33587911256092406,0.37489303547616354,0.9009171051776388,-0.44920326932253196,0.4187562239325887,0.10952380952380952,0.0462219284015124,0.0427039316848995
Energy,2023,17,12,0.3249319919455984,0.3207377212082896,0.9576645918895811,-0.49468808186435287,0.4189241342186732,0.1323529411764706,-0.12716651918053268,-0.08268393531447932
meterier,2023,8,12,0.2939129429443195,0.3288311533099676,0.7133272397482604,-0.36530538011031016,0.4125944940931114,0.10714285714285714,-0.2666881987964817,-0.2136948896669219
