group,ticker,company,member_role,mean_corr_to_group,median_corr_to_group,max_corr_to_peer,strong_link_count,pc1_loading,best_coupled_peer,best_coupled_peer_company,ticker_x,db_ticker_x,financial_year,financial_quarter,financial_period,revenue_usd_m,operating_income_usd_m,net_income_usd_m,db_ticker_y,market_cap_date,market_cap_usd_b,db_ticker,financial_currency,has_financial_metric,fx_rate_local_per_usd,financial_fx_normalized,revenue_usd_m_reported,operating_income_usd_m_reported,net_income_usd_m_reported,mixed_financial_currency,missing_fx_rate,market_cap_usd_b_share_of_group,revenue_usd_m_share_of_group,operating_income_usd_m_share_of_group,net_income_usd_m_share_of_group
AI Platforms,MDB,MongoDB,partial / bridge,0.42262010268373107,0.43674865293047976,0.591926375755162,0,0.3157483984773748,SNOW,Snowflake,MDB,MDB,2025.0,4.0,2025-Q4,628.309,-18.424,-2.007,,,,MDB,USD,True,1.0,True,628.309,-18.424,-2.007,False,False,,0.014111780998717516,,
AI Platforms,ADBE,Adobe,partial / bridge,0.4195675342511487,0.3666731764393415,0.6337842637202361,0,0.2990469121125676,NOW,ServiceNow,ADBE,ADBE,2025.0,4.0,2025-Q4,6194.0,2261.0,1856.0,,,,ADBE,USD,True,1.0,True,6194.0,2261.0,1856.0,False,False,,0.13911685413714636,0.22194418393351842,0.18036574986574605
AI Platforms,PLTR,Palantir,partial / bridge,0.4104057571072586,0.4604505813373775,0.5493615651039506,0,0.3063689446000676,CRM,Salesforce,PLTR,PLTR,2025.0,4.0,2025-Q4,1406.802,575.394,608.676,,,,PLTR,USD,True,1.0,True,1406.802,575.394,608.676,False,False,,0.0315966852815379,0.056481800871403316,0.059151025412329125
AI Platforms,IBM,IBM,weakly coupled,0.2580551215394066,0.3244364188123884,0.40551687141953807,0,0.19167144103429196,NOW,ServiceNow,IBM,IBM,2025.0,4.0,2025-Q4,19687.0,4849.0,5600.0,,,,IBM,USD,True,1.0,True,19687.0,4849.0,5600.0,False,False,,0.44216879357410405,0.4759873276840472,0.5442070039052683
AI Software,BIDU,Baidu,partial / bridge,0.36390519012494144,0.36390519012494144,0.36390519012494144,0,0.7071067811865475,META,Meta Platforms,BIDU,BIDU,2025.0,4.0,2025-Q4,32740.0,1483.0,1782.0,,,,BIDU,USD,True,1.0,True,32740.0,1483.0,1782.0,False,False,,0.35343775976164005,0.05654262620100656,0.07258655804480652
AI Software,META,Meta Platforms,partial / bridge,0.36390519012494144,0.36390519012494144,0.36390519012494144,0,0.7071067811865475,BIDU,Baidu,META,META,2025.0,4.0,2025-Q4,59893.0,24745.0,22768.0,,,,META,USD,True,1.0,True,59893.0,24745.0,22768.0,False,False,,0.64656224023836,0.9434573737989934,0.9274134419551935
CPU,ARM,ARM Holdings,partial / bridge,0.37611416160217054,0.37611416160217054,0.37611416160217054,0,0.7071067811865476,INTC,Intel,ARM,ARM,2025.0,4.0,2025-Q4,1242.0,191.0,223.0,,,,ARM,USD,True,1.0,True,1242.0,191.0,223.0,False,False,,0.083266291230893,0.25775978407557354,
CPU,INTC,Intel,partial / bridge,0.37611416160217054,0.37611416160217054,0.37611416160217054,0,0.7071067811865474,ARM,ARM Holdings,INTC,INTC,2025.0,4.0,2025-Q4,13674.0,550.0,-591.0,,,,INTC,USD,True,1.0,True,13674.0,550.0,-591.0,False,False,,0.916733708769107,0.7422402159244265,
Cooling,TT,Trane Technologies,coupling core,0.583747107051862,0.5088848038411465,0.780143233847051,1,0.5500523545908003,CARR,Carrier Global,TT,TT,2025.0,4.0,2025-Q4,5144.5,819.0,591.3,,,,TT,USD,True,1.0,True,5144.5,819.0,591.3,True,False,,0.4079721761197243,0.650841223349908,0.7527963188621938
Cooling,CARR,Carrier Global,coupling core,0.5687840304571942,0.47044492421659756,0.780143233847051,1,0.5472101604474596,TT,Trane Technologies,CARR,CARR,2025.0,4.0,2025-Q4,4837.0,54.0,53.0,,,,CARR,USD,True,1.0,True,4837.0,54.0,53.0,True,False,,0.3835866295832649,0.04291260813296097,0.06747540148773258
